,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Date_interval,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTP,ATP,PtDiff
90,2005-10-22,Man United,Tottenham,1,1,D,2005-10-22,1,1,1,1,0,0,1,1,0
91,2005-10-22,Portsmouth,Charlton,1,2,A,2005-10-22,1,3,2,2,-1,1,0,3,-3
92,2005-10-23,Bolton,West Brom,2,0,H,2005-10-29,3,0,0,0,3,0,3,0,3
93,2005-10-23,Everton,Chelsea,1,1,D,2005-10-29,2,5,1,1,1,4,1,1,0
94,2005-10-23,Newcastle,Sunderland,3,2,H,2005-10-29,3,3,2,2,1,1,3,0,3
95,2005-10-23,West Ham,Middlesbrough,2,1,H,2005-10-29,2,5,3,3,-1,2,3,0,3
96,2005-10-29,Birmingham,Everton,0,1,A,2005-10-29,0,2,1,1,-1,1,0,3,-3
97,2005-10-29,Charlton,Bolton,0,1,A,2005-10-29,0,3,1,1,-1,2,0,3,-3
98,2005-10-29,Chelsea,Blackburn,4,2,H,2005-10-29,5,2,3,3,2,-1,3,0,3
99,2005-10-29,Liverpool,West Ham,2,0,H,2005-10-29,2,2,0,0,2,2,3,0,3
100,2005-10-29,Middlesbrough,Man United,4,1,H,2005-10-29,5,1,3,3,2,-2,3,0,3
101,2005-10-29,Sunderland,Portsmouth,1,4,A,2005-10-29,3,4,7,7,-4,-3,0,3,-3
102,2005-10-29,Tottenham,Arsenal,1,1,D,2005-10-29,1,1,1,1,0,0,1,1,0
103,2005-10-29,Wigan,Fulham,1,0,H,2005-10-29,1,0,0,0,1,0,3,0,3
104,2005-10-30,West Brom,Newcastle,0,3,A,2005-11-05,0,4,4,4,-4,0,0,3,-3
105,2005-10-31,Man City,Aston Villa,3,1,H,2005-11-05,4,1,3,3,1,-2,3,0,3
106,2005-11-05,Arsenal,Sunderland,3,1,H,2005-11-05,3,1,1,1,2,0,3,0,3
107,2005-11-05,Aston Villa,Liverpool,0,2,A,2005-11-05,1,2,5,5,-4,-3,0,3,-3
108,2005-11-05,Blackburn,Charlton,4,1,H,2005-11-05,4,1,1,1,3,0,3,0,3
