,Season,Date,Date_interval,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HTP,ATP,PtDiff,HTGSCum,ATGSCum,HTGCCum,ATGCCum,HTGDCum,ATGDCum,HTPCum,ATPCum,HSCum,ASCum,HSTCum,ASTCum,HFCum,AFCum,HCCum,ACCum,HYCum,AYCum,HRCum,ARCum,PtDiffCum,HStreak,AStreak,HPrevPos,APrevPos,oddsH,oddsD,oddsA
3148,2013/2014,2013-11-10,2013-11-16,Tottenham,Newcastle,0,1,A,0,1,1,0,-1,1,31,8,14,4,5,15,11,4,1,2,0,0,0,3,-3,1.8,2.8,1.0,3.2,0.4,-0.4,2.0,1.8,16.6,14.6,5.2,5.8,8.8,11.0,6.4,2.0,2.0,1.8,0.0,0.2,1.2,1,-1,38.0,26.0,1.5333333333333334,4.126666666666667,6.25
3149,2013/2014,2013-11-23,2013-11-23,Arsenal,Southampton,2,0,H,2,0,0,2,2,-2,9,10,4,4,10,14,5,6,0,3,0,0,3,0,3,4.4,3.0,2.0,1.0,1.4,0.2,2.4,1.6,15.2,11.6,7.0,4.0,11.4,16.0,5.2,5.6,1.6,1.0,0.2,0.0,1.8,4,0,37.0,31.0,1.58,4.066666666666667,5.7
3150,2013/2014,2013-11-23,2013-11-23,Everton,Liverpool,3,3,D,3,3,3,3,0,0,18,11,12,5,16,15,6,7,4,3,0,0,1,1,0,2.8,4.2,2.0,2.0,0.2,0.4,2.2,1.6,14.6,13.4,5.4,4.6,9.4,9.0,5.8,7.0,2.2,2.2,0.0,0.0,1.2,0,-1,36.0,35.0,2.8666666666666667,3.2833333333333337,2.4833333333333334
3151,2013/2014,2013-11-23,2013-11-23,Fulham,Swansea,1,2,A,1,2,2,1,-1,1,9,21,3,5,11,9,8,8,3,1,0,0,0,3,-3,2.0,3.0,3.8,3.0,-0.8,-0.2,0.8,1.2,12.2,12.2,4.4,5.2,10.0,10.6,5.4,4.0,1.6,2.2,0.0,0.2,-1.2,-1,-2,30.0,33.0,3.1,3.2999999999999994,2.31
3152,2013/2014,2013-11-23,2013-11-23,Hull,Crystal Palace,0,1,A,0,1,1,0,-1,1,15,9,2,2,8,11,11,4,2,1,0,1,0,3,-3,1.8,1.2,2.8,4.2,0.0,-2.4,2.2,0.0,12.8,9.8,2.2,2.2,11.4,8.8,4.8,1.8,1.4,1.2,0.2,0.2,1.8,1,-5,0.0,0.0,1.8166666666666667,3.4333333333333336,4.6499999999999995
3153,2013/2014,2013-11-23,2013-11-23,Newcastle,Norwich,2,1,H,2,1,1,2,1,-1,21,10,5,2,8,7,6,5,0,1,0,0,3,0,3,3.0,1.8,3.2,4.2,-0.6,-2.4,1.6,0.6,16.8,8.8,4.6,3.0,11.4,11.8,5.4,2.6,1.4,1.2,0.2,0.0,0.6,1,-2,26.0,28.0,1.7566666666666666,3.6666666666666665,4.666666666666667
3154,2013/2014,2013-11-23,2013-11-23,Stoke,Sunderland,2,0,H,2,0,0,2,2,-2,17,11,5,3,11,5,3,7,2,1,0,1,3,0,3,2.0,1.6,2.8,4.4,-0.2,-1.8,1.2,0.2,10.2,8.0,3.0,1.4,13.0,10.6,5.4,3.6,2.0,1.2,0.0,0.6,0.0,0,-4,29.0,27.0,2.016666666666667,3.35,3.8333333333333335
3155,2013/2014,2013-11-23,2013-11-23,West Ham,Chelsea,0,3,A,0,3,3,0,-3,3,8,20,1,8,12,10,8,4,0,0,0,0,0,3,-3,1.8,3.6,2.2,2.0,-0.4,0.0,0.8,1.0,12.8,15.2,2.2,4.8,10.2,11.0,4.4,5.4,1.0,2.0,0.2,0.2,-1.2,0,-1,32.0,39.0,5.633333333333333,3.866666666666667,1.6133333333333333
3156,2013/2014,2013-11-24,2013-11-30,Cardiff,Man United,2,2,D,2,2,5,2,-3,0,14,16,4,5,15,14,2,8,4,2,0,0,1,1,0,1.8,3.6,3.0,2.6,0.0,0.2,2.2,1.8,7.2,12.4,2.4,4.8,8.0,12.4,3.6,4.6,0.8,2.8,0.0,0.0,0.8,1,2,0.0,41.0,5.7,3.9333333333333336,1.5999999999999999
3157,2013/2014,2013-11-24,2013-11-30,Man City,Tottenham,6,0,H,6,0,0,6,6,-6,15,13,10,5,7,11,4,7,1,3,0,0,3,0,3,5.6,1.8,2.4,1.2,3.0,0.6,3.0,2.0,17.8,17.8,7.4,6.0,10.6,10.2,8.2,7.2,2.2,2.2,0.0,0.0,3.0,5,0,40.0,38.0,1.64,3.9,5.3
3158,2013/2014,2013-11-25,2013-11-30,West Brom,Aston Villa,2,2,D,3,2,4,2,-1,0,11,15,4,7,9,14,4,2,1,2,0,0,1,1,0,2.4,2.2,2.4,2.4,0.4,0.2,1.4,1.6,11.0,11.6,2.8,3.4,10.0,13.4,5.4,3.4,1.8,2.4,0.0,0.0,0.0,1,0,34.0,25.0,2.0833333333333335,3.4,3.5833333333333335
3159,2013/2014,2013-11-30,2013-11-30,Aston Villa,Sunderland,0,0,D,2,0,2,0,0,0,13,7,4,1,14,12,7,6,2,1,0,0,1,1,0,1.8333333333333333,1.3333333333333333,2.0,4.0,-1.3333333333333333,-1.8333333333333333,1.0,0.16666666666666666,13.5,8.5,3.1666666666666665,1.6666666666666667,11.333333333333334,9.666666666666666,5.166666666666667,4.166666666666667,1.5,1.1666666666666667,0.0,0.6666666666666666,-1.0,1,-5,25.0,27.0,1.95,3.4500000000000006,3.9599999999999995
3160,2013/2014,2013-11-30,2013-11-30,Cardiff,Arsenal,0,3,A,2,3,5,0,-3,3,10,15,4,6,6,8,3,3,0,3,0,0,1,3,-2,1.5,4.0,2.5,1.6666666666666667,-0.5,1.3333333333333333,2.0,2.1666666666666665,8.333333333333334,12.666666666666666,2.6666666666666665,4.666666666666667,9.166666666666666,9.833333333333334,3.3333333333333335,4.833333333333333,1.3333333333333333,1.8333333333333333,0.0,0.16666666666666666,0.6666666666666666,1,-1,0.0,37.0,5.716666666666666,3.9,1.6066666666666667
3161,2013/2014,2013-11-30,2013-11-30,Everton,Stoke,4,0,H,4,0,0,4,4,-4,22,4,12,3,9,16,9,3,0,3,0,0,3,0,3,2.8333333333333335,2.0,2.1666666666666665,2.3333333333333335,0.16666666666666666,-0.8333333333333334,2.0,0.6666666666666666,15.166666666666666,11.0,6.5,3.8333333333333335,10.5,14.0,5.833333333333333,4.5,2.5,2.5,0.0,0.0,1.0,0,0,36.0,29.0,1.6066666666666667,3.8000000000000003,5.883333333333333
3162,2013/2014,2013-11-30,2013-11-30,Newcastle,West Brom,2,1,H,2,3,1,4,1,-1,14,14,6,1,15,15,3,3,1,2,0,0,3,0,3,2.8333333333333335,2.0,2.8333333333333335,2.0,-0.3333333333333333,-0.3333333333333333,1.8333333333333333,1.1666666666666667,17.5,11.5,4.666666666666667,3.5,10.833333333333334,12.833333333333334,5.5,5.5,1.1666666666666667,2.1666666666666665,0.16666666666666666,0.0,1.0,2,0,26.0,34.0,2.0166666666666666,3.4333333333333336,3.733333333333333
3163,2013/2014,2013-11-30,2013-11-30,Norwich,Crystal Palace,1,0,H,1,0,0,1,1,-1,10,13,3,3,12,14,5,4,1,2,0,0,3,0,3,1.6666666666666667,1.1666666666666667,3.8333333333333335,3.5,0.0,-1.8333333333333333,1.3333333333333333,0.5,15.833333333333334,9.666666666666666,4.333333333333333,2.1666666666666665,11.833333333333334,9.166666666666666,6.5,2.1666666666666665,1.0,1.1666666666666667,0.0,0.3333333333333333,0.0,1,1,28.0,0.0,1.92,3.4166666666666665,4.1433333333333335
3164,2013/2014,2013-11-30,2013-11-30,West Ham,Fulham,3,0,H,3,0,0,3,3,-3,23,10,12,0,11,8,6,3,3,2,0,0,3,0,3,1.5,1.8333333333333333,2.3333333333333335,3.5,-0.8333333333333334,-0.6666666666666666,0.6666666666666666,1.5,12.0,4.333333333333333,2.0,1.8333333333333333,10.5,10.333333333333334,5.0,3.1666666666666665,0.8333333333333334,1.5,0.16666666666666666,0.0,-1.5,-1,-2,32.0,30.0,1.876666666666667,3.4500000000000006,4.283333333333333
3165,2013/2014,2013-12-01,2013-12-07,Chelsea,Southampton,3,1,H,9,4,7,7,2,-3,16,9,7,1,15,14,8,4,1,4,0,0,3,0,3,3.5,2.5,1.6666666666666667,1.1666666666666667,1.6666666666666667,-0.16666666666666666,3.6666666666666665,1.3333333333333333,18.666666666666668,11.333333333333334,6.0,4.0,10.666666666666666,15.666666666666666,6.166666666666667,5.666666666666667,1.1666666666666667,1.3333333333333333,0.0,0.0,3.5,0,-1,39.0,31.0,1.5,4.2,6.683333333333334
3166,2013/2014,2013-12-01,2013-12-07,Hull,Liverpool,3,1,H,3,10,3,5,0,5,12,9,4,4,10,16,2,6,2,0,0,0,3,0,3,1.5,4.0,2.5,2.1666666666666665,-0.16666666666666666,0.3333333333333333,1.8333333333333333,1.5,13.166666666666666,13.0,2.1666666666666665,4.666666666666667,10.833333333333334,10.0,5.833333333333333,7.0,1.5,2.3333333333333335,0.16666666666666666,0.0,1.0,-1,0,0.0,35.0,5.883333333333333,3.8333333333333335,1.6066666666666667
3167,2013/2014,2013-12-01,2013-12-07,Man City,Swansea,3,0,H,7,3,3,3,4,0,22,9,7,4,7,8,5,4,1,0,0,0,3,0,3,5.666666666666667,2.8333333333333335,2.0,2.6666666666666665,3.5,0.0,3.0,1.5,17.333333333333332,13.666666666666666,7.833333333333333,5.166666666666667,10.0,10.333333333333334,7.5,4.666666666666667,2.0,2.0,0.0,0.16666666666666666,3.0,6,1,40.0,33.0,1.27,5.566666666666666,11.5
3168,2013/2014,2013-12-01,2013-12-07,Tottenham,Man United,2,2,D,6,2,4,4,2,-2,10,8,4,3,9,15,7,7,1,3,0,0,1,1,0,1.5,3.3333333333333335,2.0,2.5,0.16666666666666666,0.16666666666666666,1.6666666666666667,1.6666666666666667,19.0,13.0,6.666666666666667,4.833333333333333,8.166666666666666,12.666666666666666,7.166666666666667,5.166666666666667,1.8333333333333333,2.6666666666666665,0.0,0.0,0.5,-1,0,38.0,41.0,2.716666666666667,3.3333333333333335,2.5766666666666667
3169,2013/2014,2013-12-03,2013-12-07,Crystal Palace,West Ham,1,0,H,3,1,0,5,3,-4,10,11,5,2,10,9,3,4,1,2,0,0,6,0,6,1.1666666666666667,2.0,3.6666666666666665,2.3333333333333335,-2.3333333333333335,-0.16666666666666666,0.6666666666666666,1.0,11.166666666666666,12.166666666666666,3.3333333333333335,3.3333333333333335,10.5,11.666666666666666,4.666666666666667,4.833333333333333,0.8333333333333334,1.6666666666666667,0.0,0.0,-1.5,0,-1,0.0,32.0,2.9166666666666665,3.233333333333333,2.466666666666667
3170,2013/2014,2013-12-04,2013-12-07,Arsenal,Hull,2,0,H,2,3,0,3,2,0,20,7,7,2,9,6,11,1,0,0,0,0,3,0,3,4.5,1.5,1.6666666666666667,2.5,1.5,-1.0,2.5,0.5,14.166666666666666,9.166666666666666,6.5,2.6666666666666665,11.166666666666666,13.333333333333334,5.166666666666667,4.0,1.3333333333333333,1.8333333333333333,0.16666666666666666,0.0,2.0,5,-3,37.0,0.0,1.1933333333333334,6.766666666666667,14.166666666666666
3171,2013/2014,2013-12-04,2013-12-07,Fulham,Tottenham,1,2,A,1,6,2,4,-1,2,16,18,6,5,7,16,9,7,2,1,0,0,0,6,-6,1.8333333333333333,1.5,4.0,2.0,-0.8333333333333334,-0.5,0.6666666666666666,1.6666666666666667,11.666666666666666,17.0,4.166666666666667,5.833333333333333,10.166666666666666,10.333333333333334,5.833333333333333,7.166666666666667,1.8333333333333333,2.3333333333333335,0.0,0.0,-1.5,-2,-1,30.0,38.0,5.166666666666667,3.766666666666666,1.6733333333333331
3172,2013/2014,2013-12-04,2013-12-07,Liverpool,Norwich,5,1,H,10,3,5,5,5,-2,28,14,12,5,10,6,4,0,3,1,0,0,6,3,3,4.0,1.8333333333333333,2.1666666666666665,3.8333333333333335,2.0,-2.1666666666666665,2.5,0.5,18.166666666666668,9.0,7.5,2.8333333333333335,11.666666666666666,11.0,7.166666666666667,3.0,0.8333333333333334,1.1666666666666667,0.0,0.0,2.0,3,-3,35.0,28.0,1.2533333333333332,5.916666666666667,11.1
3173,2013/2014,2013-12-04,2013-12-07,Man United,Everton,0,1,A,2,1,4,0,-2,1,18,15,6,4,12,12,7,4,2,0,0,0,0,3,-3,3.3333333333333335,3.5,2.5,2.1666666666666665,0.0,0.3333333333333333,1.8333333333333333,1.5,13.666666666666666,13.0,4.666666666666667,3.8333333333333335,9.5,9.5,6.666666666666667,5.333333333333333,1.6666666666666667,1.3333333333333333,0.0,0.0,1.0,2,0,41.0,36.0,1.6933333333333334,3.65,5.2
3174,2013/2014,2013-12-04,2013-12-07,Southampton,Aston Villa,2,3,A,4,3,7,2,-3,1,21,6,9,3,9,13,8,2,3,2,0,0,1,3,-2,2.5,2.1666666666666665,1.1666666666666667,2.3333333333333335,1.6666666666666667,0.16666666666666666,2.3333333333333335,1.5,15.166666666666666,12.166666666666666,5.166666666666667,4.0,11.666666666666666,13.5,7.666666666666667,3.1666666666666665,1.3333333333333333,2.3333333333333335,0.0,0.0,1.5,4,0,31.0,25.0,1.6499999999999997,3.733333333333333,5.45
3175,2013/2014,2013-12-04,2013-12-07,Stoke,Cardiff,0,0,D,3,0,2,2,1,-2,17,14,2,3,11,12,2,5,2,2,0,0,4,1,3,2.0,1.8333333333333333,3.0,3.3333333333333335,0.16666666666666666,-1.0,1.5,0.8333333333333334,11.333333333333334,11.833333333333334,3.3333333333333335,2.6666666666666665,12.666666666666666,7.666666666666667,5.0,4.833333333333333,2.0,1.3333333333333333,0.0,0.0,0.5,1,-1,29.0,0.0,2.0500000000000003,3.2833333333333337,3.8000000000000003
3176,2013/2014,2013-12-04,2013-12-07,Sunderland,Chelsea,3,4,A,4,9,6,7,-2,2,12,19,3,5,15,14,6,5,4,3,0,0,0,3,-3,1.3333333333333333,3.5,4.0,1.6666666666666667,-1.3333333333333333,0.5,1.0,1.3333333333333333,13.166666666666666,16.0,3.0,5.333333333333333,11.333333333333334,10.833333333333334,5.166666666666667,5.166666666666667,1.0,1.6666666666666667,0.0,0.16666666666666666,-1.0,2,1,27.0,39.0,6.2,4.176666666666667,1.5166666666666666
3177,2013/2014,2013-12-04,2013-12-07,Swansea,Newcastle,3,0,H,3,1,3,3,0,-2,13,14,5,3,4,8,5,1,0,2,0,0,3,3,0,2.8333333333333335,3.1666666666666665,2.6666666666666665,3.0,0.3333333333333333,-0.16666666666666666,1.0,2.0,14.166666666666666,13.5,5.666666666666667,5.5,10.166666666666666,11.666666666666666,7.333333333333333,2.3333333333333335,2.1666666666666665,1.8333333333333333,0.0,0.16666666666666666,-0.5,0,1,33.0,26.0,2.0833333333333335,3.4333333333333336,3.5
3178,2013/2014,2013-12-04,2013-12-07,West Brom,Man City,2,3,A,2,7,5,3,-3,4,12,15,1,5,8,10,3,3,1,1,0,0,0,4,-4,2.5,5.666666666666667,2.6666666666666665,2.0,0.16666666666666666,1.6666666666666667,1.3333333333333333,0.6666666666666666,11.0,16.833333333333332,3.0,5.666666666666667,9.833333333333334,11.5,5.166666666666667,8.333333333333334,1.6666666666666667,1.3333333333333333,0.0,0.0,0.0,0,-2,34.0,40.0,5.633333333333333,3.9666666666666663,1.596666666666667
3179,2013/2014,2013-12-07,2013-12-07,Crystal Palace,Cardiff,2,0,H,3,0,0,2,3,-2,19,10,5,2,9,12,8,3,0,0,0,0,6,1,5,1.0,1.5714285714285714,3.142857142857143,2.857142857142857,-1.5714285714285714,-1.1428571428571428,1.4285714285714286,0.8571428571428571,11.0,12.142857142857142,3.5714285714285716,2.7142857142857144,10.428571428571429,8.285714285714286,4.428571428571429,4.857142857142857,0.8571428571428571,1.4285714285714286,0.0,0.0,-0.42857142857142855,0,-1,0.0,0.0,2.6166666666666667,3.266666666666667,2.733333333333333
3180,2013/2014,2013-12-07,2013-12-07,Liverpool,West Ham,4,1,H,10,1,5,5,5,-4,32,8,9,1,9,12,8,4,0,3,0,1,6,0,6,3.4285714285714284,1.7142857142857142,1.8571428571428572,2.0,2.4285714285714284,-0.7142857142857143,3.0,0.8571428571428571,19.571428571428573,12.0,8.142857142857142,3.142857142857143,11.428571428571429,11.285714285714286,6.714285714285714,4.714285714285714,1.1428571428571428,1.7142857142857142,0.0,0.0,2.142857142857143,3,-1,35.0,32.0,1.2733333333333334,5.583333333333333,10.933333333333332
3181,2013/2014,2013-12-07,2013-12-07,Man United,Newcastle,0,1,A,2,1,4,3,-2,-2,8,9,4,3,11,18,4,4,0,2,0,0,0,3,-3,2.857142857142857,2.7142857142857144,2.142857142857143,2.5714285714285716,-0.2857142857142857,-0.42857142857142855,1.5714285714285714,2.142857142857143,14.285714285714286,13.571428571428571,4.857142857142857,5.142857142857143,9.857142857142858,11.142857142857142,6.714285714285714,2.142857142857143,1.7142857142857142,1.8571428571428572,0.0,0.14285714285714285,0.42857142857142855,2,1,41.0,26.0,1.5200000000000002,4.11,6.45
3182,2013/2014,2013-12-07,2013-12-07,Southampton,Man City,1,1,D,4,7,7,3,-3,4,15,13,4,3,6,9,5,4,0,2,0,0,1,4,-3,2.142857142857143,4.857142857142857,1.0,1.7142857142857142,1.0,2.0,2.142857142857143,1.1428571428571428,16.0,16.571428571428573,5.714285714285714,5.571428571428571,11.285714285714286,11.285714285714286,7.714285714285714,7.571428571428571,1.5714285714285714,1.2857142857142858,0.0,0.0,1.0,4,-2,31.0,40.0,4.8999999999999995,3.6333333333333333,1.7333333333333334
3183,2013/2014,2013-12-07,2013-12-07,Stoke,Chelsea,3,2,H,3,9,2,7,1,2,9,15,3,6,14,8,5,2,4,1,0,0,4,3,1,1.7142857142857142,3.0,2.5714285714285716,1.4285714285714286,0.2857142857142857,0.7142857142857143,1.8571428571428572,1.5714285714285714,12.142857142857142,16.428571428571427,3.142857142857143,5.285714285714286,12.428571428571429,11.285714285714286,4.571428571428571,5.142857142857143,2.0,1.8571428571428572,0.0,0.14285714285714285,0.8571428571428571,1,1,29.0,39.0,6.033333333333334,3.966666666666667,1.5633333333333335
3184,2013/2014,2013-12-07,2013-12-07,Sunderland,Tottenham,1,2,A,4,6,6,4,-2,2,11,22,4,5,14,9,4,10,2,0,0,0,0,6,-6,1.1428571428571428,1.2857142857142858,3.4285714285714284,1.7142857142857142,-1.4285714285714286,-0.14285714285714285,0.8571428571428571,2.2857142857142856,13.0,17.142857142857142,3.0,5.714285714285714,11.857142857142858,11.142857142857142,5.285714285714286,7.142857142857143,1.4285714285714286,2.142857142857143,0.0,0.0,-1.2857142857142858,2,-1,27.0,38.0,4.266666666666667,3.6,1.8366666666666667
3185,2013/2014,2013-12-07,2013-12-07,West Brom,Norwich,0,2,A,2,3,5,5,-3,-2,26,8,12,3,10,6,10,3,1,3,0,0,0,3,-3,2.142857142857143,1.5714285714285714,2.2857142857142856,3.2857142857142856,-0.2857142857142857,-2.142857142857143,1.1428571428571428,0.8571428571428571,11.142857142857142,9.714285714285714,2.7142857142857144,3.142857142857143,9.571428571428571,10.285714285714286,4.857142857142857,2.5714285714285716,1.5714285714285714,1.1428571428571428,0.0,0.0,-0.5714285714285714,0,-3,34.0,28.0,1.7833333333333332,3.5833333333333335,4.6499999999999995
3186,2013/2014,2013-12-08,2013-12-14,Arsenal,Everton,1,1,D,4,5,7,2,-3,3,11,12,5,4,13,11,3,2,0,4,0,0,1,1,0,4.142857142857143,3.142857142857143,1.4285714285714286,1.8571428571428572,1.5714285714285714,0.42857142857142855,2.5714285714285716,1.7142857142857142,15.0,13.285714285714286,6.571428571428571,3.857142857142857,10.857142857142858,9.857142857142858,6.0,5.142857142857143,1.1428571428571428,1.1428571428571428,0.14285714285714285,0.0,2.142857142857143,6,1,37.0,36.0,1.6666666666666667,3.766666666666667,5.216666666666667
3187,2013/2014,2013-12-08,2013-12-14,Fulham,Aston Villa,2,0,H,3,0,4,2,-1,-2,22,10,10,2,12,13,4,7,0,2,0,0,3,0,3,1.7142857142857142,2.2857142857142856,3.7142857142857144,2.2857142857142856,-0.8571428571428571,0.2857142857142857,0.5714285714285714,1.7142857142857142,12.285714285714286,11.285714285714286,4.428571428571429,3.857142857142857,9.714285714285714,13.428571428571429,6.285714285714286,3.0,1.8571428571428572,2.2857142857142856,0.0,0.0,-2.142857142857143,-3,1,30.0,25.0,2.716666666666667,3.2999999999999994,2.6
3188,2013/2014,2013-12-09,2013-12-14,Swansea,Hull,1,1,D,1,1,1,1,0,0,11,9,2,2,8,7,12,1,3,3,0,0,1,1,0,2.857142857142857,1.7142857142857142,2.7142857142857144,2.5714285714285716,0.2857142857142857,-0.8571428571428571,1.2857142857142858,0.42857142857142855,14.0,8.857142857142858,5.571428571428571,2.5714285714285716,9.285714285714286,12.285714285714286,7.0,3.5714285714285716,1.8571428571428572,1.5714285714285714,0.0,0.0,-0.42857142857142855,1,-4,33.0,0.0,1.74,3.5833333333333335,5.0
3189,2013/2014,2013-12-14,2013-12-14,Cardiff,West Brom,1,0,H,1,0,0,1,1,-1,11,12,3,2,16,12,8,6,2,1,0,0,3,0,3,1.5714285714285714,2.4285714285714284,3.142857142857143,3.0,-0.8571428571428571,-0.42857142857142855,1.8571428571428572,1.0,8.571428571428571,11.857142857142858,2.857142857142857,3.142857142857143,8.714285714285714,13.142857142857142,3.2857142857142856,5.142857142857143,1.1428571428571428,2.142857142857143,0.0,0.0,0.2857142857142857,-1,-1,0.0,34.0,2.493333333333333,3.3166666666666664,2.8433333333333333
3190,2013/2014,2013-12-14,2013-12-14,Chelsea,Crystal Palace,2,1,H,2,1,1,2,1,-1,16,10,7,5,13,7,3,1,2,1,0,0,3,0,3,4.285714285714286,1.4285714285714286,2.4285714285714284,3.142857142857143,1.7142857142857142,-1.7142857142857142,3.5714285714285716,0.42857142857142855,18.285714285714285,10.142857142857142,6.142857142857143,2.2857142857142856,11.285714285714286,9.857142857142858,6.428571428571429,2.4285714285714284,1.1428571428571428,1.2857142857142858,0.0,0.2857142857142857,3.4285714285714284,1,-1,39.0,0.0,1.17,7.25,16.166666666666668
3191,2013/2014,2013-12-14,2013-12-14,Everton,Fulham,4,1,H,5,3,2,4,3,-1,22,16,7,3,10,7,12,2,1,2,0,0,3,0,3,3.142857142857143,1.7142857142857142,1.8571428571428572,3.7142857142857144,0.7142857142857143,-1.0,2.142857142857143,1.2857142857142858,16.142857142857142,5.142857142857143,7.285714285714286,1.5714285714285714,10.285714285714286,10.0,6.285714285714286,3.142857142857143,2.142857142857143,1.5714285714285714,0.0,0.0,1.2857142857142858,1,-3,36.0,30.0,1.3833333333333335,4.566666666666666,8.85
3192,2013/2014,2013-12-14,2013-12-14,Hull,Stoke,0,0,D,1,0,1,0,0,0,13,11,4,2,11,13,7,5,1,0,0,0,1,1,0,1.7142857142857142,2.142857142857143,2.5714285714285716,2.857142857142857,-0.14285714285714285,-1.2857142857142858,2.0,0.5714285714285714,13.0,10.0,2.4285714285714284,3.7142857142857144,10.714285714285714,14.285714285714286,5.285714285714286,4.285714285714286,1.5714285714285714,2.5714285714285716,0.14285714285714285,0.0,1.2857142857142858,1,-1,0.0,29.0,2.2333333333333334,3.283333333333333,3.3000000000000003
3193,2013/2014,2013-12-14,2013-12-14,Man City,Arsenal,6,3,H,6,4,3,7,3,-3,22,12,7,6,12,6,8,8,2,1,0,0,3,0,3,5.857142857142857,4.142857142857143,2.142857142857143,1.4285714285714286,3.5714285714285716,1.5714285714285714,3.0,2.2857142857142856,18.0,13.0,7.714285714285714,4.857142857142857,9.571428571428571,9.571428571428571,7.142857142857143,4.571428571428571,1.8571428571428572,2.0,0.0,0.14285714285714285,3.0,7,1,40.0,37.0,1.8099999999999998,3.65,4.383333333333334
3194,2013/2014,2013-12-14,2013-12-14,Newcastle,Southampton,1,1,D,1,1,1,1,0,0,16,8,5,3,10,16,11,3,1,2,0,0,1,1,0,2.857142857142857,2.7142857142857144,3.0,2.0,-0.14285714285714285,-0.5714285714285714,2.0,1.1428571428571428,17.0,11.0,4.857142857142857,3.5714285714285716,11.428571428571429,15.428571428571429,5.142857142857143,5.428571428571429,1.1428571428571428,1.7142857142857142,0.14285714285714285,0.0,1.2857142857142858,3,-2,26.0,31.0,2.316666666666667,3.3666666666666667,3.0666666666666664
3195,2013/2014,2013-12-14,2013-12-14,West Ham,Sunderland,0,0,D,0,0,0,0,0,0,11,19,2,6,11,5,2,9,1,0,0,0,1,1,0,1.8571428571428572,1.7142857142857142,2.7142857142857144,4.285714285714286,-0.2857142857142857,-1.5714285714285714,1.0,0.2857142857142857,13.571428571428571,8.285714285714286,3.4285714285714284,1.5714285714285714,10.571428571428571,10.0,5.142857142857143,4.428571428571429,1.1428571428571428,1.1428571428571428,0.14285714285714285,0.5714285714285714,-0.8571428571428571,1,0,32.0,27.0,1.92,3.483333333333333,4.076666666666667
3196,2013/2014,2013-12-15,2013-12-21,Aston Villa,Man United,0,3,A,1,6,5,1,-4,5,17,14,6,5,15,8,3,4,4,2,0,0,0,3,-3,2.2857142857142856,3.142857142857143,2.5714285714285716,2.7142857142857144,-1.1428571428571428,-0.14285714285714285,1.0,1.5714285714285714,13.428571428571429,12.285714285714286,3.2857142857142856,4.571428571428571,11.714285714285714,13.0,5.428571428571429,5.428571428571429,1.5714285714285714,2.7142857142857144,0.0,0.0,-0.8571428571428571,0,0,25.0,41.0,5.0,3.6333333333333333,1.7233333333333334
3197,2013/2014,2013-12-15,2013-12-21,Norwich,Swansea,1,1,D,1,1,1,1,0,0,16,10,3,2,12,11,8,5,0,3,0,0,1,1,0,2.0,3.0,4.0,2.857142857142857,0.14285714285714285,0.0,1.5714285714285714,1.2857142857142858,15.0,13.0,4.142857142857143,5.0,11.857142857142858,10.0,6.285714285714286,4.571428571428571,1.0,1.7142857142857142,0.0,0.14285714285714285,0.42857142857142855,2,-1,28.0,33.0,2.776666666666667,3.233333333333333,2.6
3198,2013/2014,2013-12-15,2013-12-21,Tottenham,Liverpool,0,5,A,0,8,5,1,-5,7,9,21,0,10,17,15,2,9,3,0,1,0,0,3,-3,2.142857142857143,4.857142857142857,2.2857142857142856,2.5714285714285716,0.42857142857142855,1.0,1.5714285714285714,1.2857142857142858,17.714285714285715,12.428571428571429,6.285714285714286,4.571428571428571,8.285714285714286,10.857142857142858,7.142857142857143,6.857142857142857,1.7142857142857142,2.0,0.0,0.0,0.42857142857142855,0,-1,38.0,35.0,2.483333333333333,3.3333333333333335,2.8166666666666664
3199,2013/2014,2013-12-21,2013-12-21,Crystal Palace,Newcastle,0,3,A,0,3,3,0,-3,3,9,13,4,6,11,14,3,7,1,2,0,0,0,3,-3,1.375,2.625,3.0,2.75,-1.0,-0.625,2.0,2.25,12.0,13.0,3.75,4.875,10.25,12.0,4.875,2.375,0.75,1.875,0.0,0.125,0.25,2,1,0.0,26.0,3.0,3.3666666666666667,2.36
3200,2013/2014,2013-12-21,2013-12-21,Fulham,Man City,2,4,A,2,4,4,2,-2,2,12,17,5,10,7,15,4,4,1,1,0,0,0,3,-3,1.875,5.875,3.75,2.25,-0.875,2.25,0.875,1.5,13.5,16.125,5.125,5.25,10.0,11.0,6.0,7.125,1.625,1.375,0.0,0.0,-1.5,1,0,30.0,40.0,8.266666666666667,4.883333333333334,1.3699999999999999
3201,2013/2014,2013-12-21,2013-12-21,Liverpool,Cardiff,3,1,H,8,1,1,3,7,-2,27,10,7,3,11,13,9,5,2,0,0,0,3,0,3,4.25,1.5,2.25,2.75,2.75,-1.25,3.375,0.875,21.125,11.875,8.25,2.625,11.125,8.75,6.875,4.625,1.0,1.25,0.0,0.0,2.625,5,-1,35.0,0.0,1.2066666666666668,6.583333333333333,13.333333333333334
