,Season,Date,Date_interval,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HTP,ATP,PtDiff,HTGSCum,ATGSCum,HTGCCum,ATGCCum,HTGDCum,ATGDCum,HTPCum,ATPCum,HSCum,ASCum,HSTCum,ASTCum,HFCum,AFCum,HCCum,ACCum,HYCum,AYCum,HRCum,ARCum,PtDiffCum,HStreak,AStreak,HPrevPos,APrevPos,oddsH,oddsD,oddsA
38,2005/2006,2005-09-10,2005-09-10,Everton,Portsmouth,0,1,A,0,1,1,0,-1,1,11,12,6,8,10,12,11,6,2,1,0,0,0,3,-3,1.0,1.5,3.0,3.5,-2.0,-1.0,0.0,0.0,10.0,8.5,5.0,2.0,15.0,18.0,8.0,3.0,3.0,2.5,0.0,0.0,-3.0,-1,-2,0.0,0.0,1.6900000000000002,3.3333333333333335,4.65
39,2005/2006,2005-09-10,2005-09-10,Man United,Man City,1,1,D,1,1,1,1,0,0,7,5,2,3,12,18,3,5,1,4,0,0,1,1,0,5.0,3.0,0.0,1.5,1.0,1.5,3.0,3.0,18.0,10.5,12.0,6.5,13.0,11.0,11.0,3.5,2.0,1.5,0.0,0.0,3.0,1,2,0.0,0.0,1.3833333333333335,4.05,7.75
40,2005/2006,2005-09-10,2005-09-10,Middlesbrough,Arsenal,2,1,H,2,1,1,2,1,-1,6,13,5,8,17,16,6,7,3,4,0,0,3,0,3,1.5,6.0,2.5,2.0,-1.5,2.0,0.5,0.0,7.0,9.0,4.0,3.0,17.5,21.0,5.5,7.0,2.0,3.0,0.5,0.0,-1.5,-1,-1,0.0,0.0,4.466666666666667,3.266666666666667,1.74
41,2005/2006,2005-09-10,2005-09-10,Newcastle,Fulham,1,1,D,1,1,1,1,0,0,15,13,10,8,19,16,10,8,4,1,1,0,1,1,0,0.0,1.5,3.0,3.0,-2.0,-1.5,0.5,0.0,11.5,8.0,5.0,3.5,17.5,12.5,7.5,4.0,1.0,2.0,0.0,0.0,-1.5,-1,-2,0.0,0.0,1.6366666666666667,3.35,5.183333333333334
42,2005/2006,2005-09-10,2005-09-10,Tottenham,Liverpool,0,0,D,0,0,0,0,0,0,10,11,7,6,16,13,4,4,1,1,0,0,1,1,0,2.0,1.0,1.0,0.0,0.0,0.0,1.5,1.0,14.5,16.0,7.0,7.0,16.0,11.0,3.5,0.0,3.0,3.0,0.5,0.0,0.0,-1,0,0.0,0.0,2.433333333333333,3.1333333333333333,2.6666666666666665
43,2005/2006,2005-09-10,2005-09-10,West Brom,Wigan,1,2,A,1,2,2,1,-1,1,10,9,5,4,19,15,5,0,3,1,0,0,0,3,-3,2.0,1.0,4.0,2.0,-2.0,-2.0,1.5,0.0,10.5,4.0,5.0,0.0,16.0,11.0,3.0,4.0,2.5,1.0,0.0,0.0,0.0,-1,-1,0.0,0.0,2.066666666666667,3.1666666666666665,3.3333333333333335
44,2005/2006,2005-09-11,2005-09-17,Bolton,Blackburn,0,0,D,0,0,0,0,0,0,12,7,6,3,18,17,4,4,1,2,0,0,1,1,0,3.0,1.5,2.0,2.5,2.0,-1.5,3.0,0.0,15.0,10.0,6.0,3.5,11.0,15.0,6.0,8.5,0.0,1.5,0.0,0.5,1.5,1,-2,0.0,0.0,1.8666666666666665,3.15,3.983333333333333
45,2005/2006,2005-09-12,2005-09-17,West Ham,Aston Villa,4,0,H,6,1,1,5,5,-4,14,14,9,8,15,12,4,11,0,1,0,0,3,0,3,2.0,2.0,1.5,2.0,0.5,0.0,1.5,0.5,13.0,5.0,5.5,3.0,12.0,15.5,4.5,5.5,0.5,1.0,0.0,0.5,0.0,-1,0,0.0,0.0,2.3666666666666667,3.1333333333333333,2.75
46,2005/2006,2005-09-17,2005-09-17,Aston Villa,Tottenham,1,1,D,1,1,5,1,-4,0,13,13,6,7,14,14,4,3,1,2,0,0,1,1,0,2.0,2.0,2.0,1.0,0.5,0.0,2.0,2.0,6.5,6.0,2.5,3.5,13.5,17.5,5.5,1.0,1.0,2.0,0.0,0.0,1.5,1,0,0.0,0.0,2.4333333333333336,3.15,2.6666666666666665
47,2005/2006,2005-09-17,2005-09-17,Charlton,Chelsea,0,2,A,0,2,2,0,-2,2,11,16,4,11,11,10,2,7,0,2,0,0,0,3,-3,8.0,5.0,1.0,0.0,1.0,4.0,3.0,3.0,21.0,16.5,10.0,8.0,10.0,9.5,4.0,5.5,0.0,1.0,0.0,0.0,3.0,1,2,0.0,0.0,5.366666666666667,3.533333333333333,1.5733333333333335
48,2005/2006,2005-09-17,2005-09-17,Fulham,West Ham,1,2,A,1,6,2,1,-1,5,9,10,6,3,11,14,4,6,2,1,0,0,0,3,-3,2.0,4.0,3.5,3.0,-1.0,0.0,2.0,1.0,12.0,6.0,5.5,1.0,15.5,11.0,6.0,2.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,0.0,2.1166666666666667,3.1166666666666667,3.216666666666667
49,2005/2006,2005-09-17,2005-09-17,Portsmouth,Birmingham,1,1,D,1,1,1,1,0,0,14,3,9,2,16,14,7,3,2,0,0,1,1,1,0,2.0,2.0,3.5,4.0,-1.5,-1.0,0.5,2.0,15.5,7.5,9.0,5.5,12.5,18.5,10.0,4.0,1.5,2.5,0.0,0.0,-1.5,0,1,0.0,0.0,2.283333333333333,3.15,2.866666666666667
50,2005/2006,2005-09-17,2005-09-17,Sunderland,West Brom,1,1,D,1,1,1,1,0,0,11,13,6,6,19,11,1,9,0,3,0,0,1,1,0,1.0,2.5,4.5,5.0,-2.0,-2.5,0.0,0.5,13.5,6.5,9.0,1.5,12.5,9.0,5.0,3.5,1.5,2.0,0.0,0.0,-3.0,-2,-1,0.0,0.0,2.273333333333333,3.15,2.883333333333333
51,2005/2006,2005-09-18,2005-09-24,Blackburn,Newcastle,0,3,A,2,4,4,0,-2,4,17,4,10,3,14,19,7,2,1,5,0,1,0,3,-3,1.5,0.5,2.5,3.5,0.0,-2.0,2.0,0.0,13.5,4.5,8.0,2.5,20.5,17.0,7.5,3.0,2.0,1.0,0.5,0.5,1.5,0,-2,0.0,0.0,2.333333333333333,3.15,2.766666666666667
52,2005/2006,2005-09-18,2005-09-24,Liverpool,Man United,0,0,D,2,1,2,2,0,-1,9,4,3,1,24,15,4,2,2,2,0,0,1,1,0,1.0,3.0,0.0,0.5,1.0,2.0,3.0,3.0,15.0,11.5,6.0,5.0,8.0,15.0,5.0,4.5,2.0,1.5,0.0,0.0,3.0,1,2,0.0,0.0,2.6999999999999997,3.1,2.4499999999999997
