,Season,Date,Date_interval,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTGD,ATGD,HTP,ATP,PtDiff,HTGSCum,ATGSCum,HTGCCum,ATGCCum,HTGDCum,ATGDCum,HTPCum,ATPCum,PtDiffCum,HStreak,AStreak,oddsH,oddsD,oddsA
73,2005/2006,2005-10-02,2005-10-08,Liverpool,Chelsea,1,4,A,1,4,4,1,-3,3,0,3,-3,3.0,14.0,2.0,1.0,1.0,10.0,4.0,9.0,3.0,0,3,3.216666666666667,2.9333333333333336,2.2666666666666666
74,2005/2006,2005-10-02,2005-10-08,Man City,Everton,2,0,H,2,0,0,2,2,-2,3,0,3,7.0,1.0,6.0,7.0,0.0,-3.0,4.0,6.0,0.0,-1,-2,1.7433333333333334,3.3333333333333335,4.376666666666666
75,2005/2006,2005-10-02,2005-10-08,Wigan,Bolton,2,1,H,2,1,1,2,1,-1,3,0,3,5.0,8.0,4.0,4.0,0.0,4.0,4.0,7.0,0.0,0,2,2.6999999999999997,3.1333333333333333,2.49
76,2005/2006,2005-10-15,2005-10-15,Chelsea,Bolton,5,1,H,5,1,1,5,4,-4,3,0,3,18.0,9.0,2.0,6.0,17.0,3.0,18.0,7.0,18.0,4,-1,1.26,4.733333333333333,11.0
77,2005/2006,2005-10-15,2005-10-15,Liverpool,Blackburn,1,0,H,1,0,0,1,1,-1,3,0,3,4.0,7.0,6.0,9.0,-2.0,-5.0,4.0,4.0,0.0,-1,1,1.6033333333333335,3.5,5.333333333333333
78,2005/2006,2005-10-15,2005-10-15,Middlesbrough,Portsmouth,1,1,D,1,1,1,1,0,0,1,1,0,9.0,5.0,11.0,9.0,-4.0,-2.0,4.0,3.0,-3.0,-1,-1,1.6900000000000002,3.3333333333333335,4.5
79,2005/2006,2005-10-15,2005-10-15,Sunderland,Man United,1,3,A,1,3,3,1,-2,2,0,3,-3,6.0,10.0,11.0,5.0,-2.0,4.0,2.0,10.0,-6.0,0,1,6.183333333333333,3.5500000000000003,1.54
80,2005/2006,2005-10-15,2005-10-15,Tottenham,Everton,2,0,H,2,0,0,2,2,-2,3,0,3,9.0,1.0,5.0,9.0,2.0,-5.0,7.0,6.0,3.0,1,-3,1.6033333333333335,3.4499999999999997,5.25
81,2005/2006,2005-10-15,2005-10-15,West Brom,Arsenal,2,1,H,2,1,1,2,1,-1,3,0,3,7.0,10.0,15.0,4.0,-6.0,3.0,3.0,1.0,-6.0,-3,0,5.733333333333333,3.5,1.57
82,2005/2006,2005-10-15,2005-10-15,Wigan,Newcastle,1,0,H,1,0,0,1,1,-1,3,0,3,7.0,5.0,5.0,7.0,1.0,0.0,7.0,4.0,3.0,1,0,2.6666666666666665,3.15,2.4499999999999997
